,title,time,push_num,link
47,[新聞] 馬斯克稱瘋了才關核電，需石油天然氣,9/01,75,https://www.ptt.cc/bbs/Stock/M.1661968006.A.464.html
48,[請益] 從千元跌下來的國泰金為何沒人撻伐,9/01,17,https://www.ptt.cc/bbs/Stock/M.1661970435.A.028.html
49,[新聞] 美命令Nvidia AI晶片停止出口到中國,9/01,78,https://www.ptt.cc/bbs/Stock/M.1661982124.A.CC8.html
50,[新聞] 通膨竄高 ECB升息3碼機率攀升,9/01,13,https://www.ptt.cc/bbs/Stock/M.1661985495.A.8DC.html
51,Re: [新聞] 中國多地發布緊急通知！深圳、成都、,8/31,27,https://www.ptt.cc/bbs/Stock/M.1661933840.A.36E.html
52,[標的] 2610 華航 主力偷買被抓包？,8/31,12,https://www.ptt.cc/bbs/Stock/M.1661934563.A.BAA.html
53,[新聞] 賺翻了！美國倍數增加向歐洲輸送LNG 專家估單次運輸獲利逾1,8/31,爆,https://www.ptt.cc/bbs/Stock/M.1661934782.A.C4C.html
54,[情報] 0831 上市外資買賣超排行,8/31,46,https://www.ptt.cc/bbs/Stock/M.1661936001.A.3B5.html
55,[新聞] 傳三星電子將為Google代工3奈米晶片,8/31,93,https://www.ptt.cc/bbs/Stock/M.1661937008.A.6AB.html
56,Re: [心得] 真的很多人在股票市場賺錢嗎？,8/31,20,https://www.ptt.cc/bbs/Stock/M.1661938076.A.7D6.html
57,[新聞] 台幣貶成救星 壽險未避險匯兌利益將破兆,8/31,13,https://www.ptt.cc/bbs/Stock/M.1661938779.A.D4A.html
58,[情報] 0831 上市櫃外資投信買超金額排行,8/31,6,https://www.ptt.cc/bbs/Stock/M.1661938785.A.F4B.html
59,"[情報] 南山人壽111H1綜合損益總額：-4,218億",8/31,爆,https://www.ptt.cc/bbs/Stock/M.1661939243.A.1B8.html
60,[新聞] 海空運旺季恐不旺 寄望蘋果新機帶動行情,8/31,33,https://www.ptt.cc/bbs/Stock/M.1661939791.A.97B.html
61,[情報] 0831 上市櫃外資投信同買排行,8/31,5,https://www.ptt.cc/bbs/Stock/M.1661940231.A.1A1.html
62,[新聞] 〈永豐金法說〉前7月唯一獲利正成長金控,8/31,21,https://www.ptt.cc/bbs/Stock/M.1661941109.A.56D.html
63,[情報] 0831八大公股銀行買賣超排行,8/31,11,https://www.ptt.cc/bbs/Stock/M.1661941300.A.6FC.html
64,[情報] 2646 星宇航空 111年度第二次增資基準日,8/31,6,https://www.ptt.cc/bbs/Stock/M.1661941754.A.9D9.html
65,[新聞] Snap 傳裁員二成，Zenly 團隊也遭裁員重,8/31,26,https://www.ptt.cc/bbs/Stock/M.1661941986.A.2EF.html
66,[新聞] 童子賢：下半年也許還有黑天鵝 通膨怪獸要先馴服,8/31,18,https://www.ptt.cc/bbs/Stock/M.1661942759.A.3A8.html
67,"[請益] 想組月月配1,4,7,10四個月份有推薦標的嗎",8/31,40,https://www.ptt.cc/bbs/Stock/M.1661945401.A.89B.html
68,[新聞] 台股再測一隻腳 黃蔭基：萬四是進場好時,8/31,36,https://www.ptt.cc/bbs/Stock/M.1661947245.A.70B.html
69,Re: [新聞] 中國多地發布緊急通知！深圳、成都、,8/31,5,https://www.ptt.cc/bbs/Stock/M.1661925021.A.F37.html
70,[新聞] 《熱門族群》BA.5帶動另類返校需求！這幾,8/31,13,https://www.ptt.cc/bbs/Stock/M.1661925674.A.5DF.html
71,[新聞]【Hot台股】生技衝衝衝網喊「小英生技快樂,8/31,15,https://www.ptt.cc/bbs/Stock/M.1661926564.A.BCB.html
72,Re: [新聞] 訂購16架波音客機 華航重申:政府完全尊重,8/31,0,https://www.ptt.cc/bbs/Stock/M.1661926614.A.A2B.html
73,[新聞] 風向變了 貨櫃三雄遭降評,8/31,50,https://www.ptt.cc/bbs/Stock/M.1661927631.A.C31.html
74,Re: [新聞] 中國多地發布緊急通知！深圳、成都、,8/31,60,https://www.ptt.cc/bbs/Stock/M.1661927930.A.BD1.html
75,[新聞] 鮑爾必要之惡來了 專家：這族群恐跳水,8/31,26,https://www.ptt.cc/bbs/Stock/M.1661928677.A.ADA.html
76,[標的] 2474.tw 可成走勢請益，是否參加除息？,8/31,32,https://www.ptt.cc/bbs/Stock/M.1661928972.A.195.html
77,Re: [新聞] 中國多地發布緊急通知！深圳、成都、,8/31,11,https://www.ptt.cc/bbs/Stock/M.1661929259.A.F77.html
78,[情報] 111年08月31日 三大法人買賣金額統計表,8/31,97,https://www.ptt.cc/bbs/Stock/M.1661929281.A.C4B.html
79,[情報] 0831 上市投信買賣超排行,8/31,15,https://www.ptt.cc/bbs/Stock/M.1661930100.A.2C4.html
80,[新聞] 美國至明年估升息14碼 永豐金：Q4台股恐,8/31,62,https://www.ptt.cc/bbs/Stock/M.1661932775.A.D36.html
81,[情報] 111年08月31日 櫃買法人買賣金額統計表,8/31,27,https://www.ptt.cc/bbs/Stock/M.1661933014.A.7C8.html
82,[新聞] 影／陳吉仲掛保證 年底前國內肥料不調漲,8/31,51,https://www.ptt.cc/bbs/Stock/M.1661933026.A.A6B.html
83,[請益] 工商日報 經濟日報 鉅亨網推薦哪個,8/31,24,https://www.ptt.cc/bbs/Stock/M.1661933342.A.1C5.html
84,<abscented> 4-2 股點不足 by Assisi,8/31,32,No link
